"ID_estacao";"ano_ini";"ano_fim";"tbs_max";"tbs_996";"tbuc_996";"tbs_99";"tbuc_99";"tbs_98";"tbuc_98";"tbs_min";"tbu_max";"tbu_996";"tbsc_996";"tbu_99";"tbsc_99";"tbu_98";"tbsc_98"
"A712";2010;2021;41,2;35,4;25,9;33,6;25;31,9;25,3;1;31;27,1;32,5;26,4;31,7;25,8;30,6
"A711";2010;2021;38,7;33,5;17,8;32,3;18,8;31,3;19,3;1,8;23,9;22,5;29,1;22,2;28,6;21,8;27,9
"A710";2010;2021;41,4;37,4;20,4;36,2;21;35,2;21,4;2,6;26,4;24,8;31,9;24,4;31,5;24,1;30,8
"A709";2010;2021;41,1;37,1;21,7;36;21,6;35;22;2,4;26,7;25,2;32,7;24,8;32,2;24,4;31,2
"A708";2010;2021;37,9;33,1;17,2;31,8;17,7;30,9;18;5,1;23,8;21,9;28,1;21,5;27,3;21,2;27
"A707";2010;2021;41,8;36,5;20,7;35,4;21,1;34,3;21;2,3;26,6;24,5;30,5;24,1;30,4;23,8;30,1
"A706";2010;2021;43;27,2;17,6;26,2;17;25,4;17,1;-3,3;33,2;19,5;24;19;23,6;18,6;23,3
"A705";2010;2021;41,6;35,5;20;34,2;21,2;33,2;21,3;0,8;26,6;24,3;30,9;23,9;30,6;23,5;29,8
"A704";2010;2021;43,1;38,5;22,1;37,3;21,7;36,2;22,2;3,9;27,5;25,3;32,3;25;31,9;24,7;31,8
"A703";2010;2021;37,8;34,8;20,6;33,8;20,8;32,9;21,5;-0,3;27;25,1;30,8;24,3;30,1;23,7;29,7
"A702";2010;2021;41;36,7;19,3;35,5;20,3;34,4;20,7;3,1;31,9;26;30,6;24,7;31,1;24,2;30,4
"A701";2010;2021;38,4;33,5;19;32,4;19,5;31,5;19,1;4;24,5;22;29;21,6;27,6;21,2;27,5
"A667";2015;2021;38,3;35,7;25,4;34,8;24,5;33,8;24,7;9,7;28,3;26,5;33,4;26;32,5;25,5;32,2
"A659";2015;2021;40,9;37,2;24,8;36,1;25,1;35;24,7;8,1;28,5;26,5;34,2;26,1;33,8;25,6;33,3
"A657";2011;2021;45;36,7;28,3;33,8;22,6;32,5;22,1;9,6;35,7;29;32,7;26,3;34,3;23,5;29,5
"A652";2010;2021;39,7;34,3;25,2;33;24,9;31,9;24,7;14,4;32,3;26,9;32,7;26,3;31,5;25,7;30,5
"A636";2017;2021;40,1;36,2;23,8;34,9;22,9;33,7;23,5;8,4;27,4;25,4;32,7;24,9;31,3;24,5;30,6
"A635";2017;2021;23,6;20,6;13,3;19,8;13;18,9;13,1;-9,9;16,9;15,3;18,6;14,9;17,9;14,4;17,3
"A634";2017;2021;37,4;34;25,3;33,1;25,2;32,3;25,1;12,9;28,5;26,3;32,5;25,8;31,3;25,4;31,4
"A633";2017;2021;36,5;32,1;20,5;31,1;20,6;30,3;21;5,5;25,2;23,1;29,8;22,5;28,4;22,1;28,1
"A632";2017;2021;40,3;36,2;24,3;35,3;24,5;34,5;24;10;27,4;26,1;33,1;25,6;32,7;25,2;31,7
"A631";2017;2021;39,1;36,2;23,7;35,3;23,6;34,4;23,9;11,2;27,5;25,8;33,5;25,4;32,5;25;31,6
"A630";2018;2021;35,5;32,5;23;31,6;23,3;30,6;23,1;5,9;26,5;24,8;30,4;24,3;29,7;23,8;29
"A629";2018;2021;39,6;36,1;24;34,9;23,4;33,9;23,4;3,8;32,5;25,5;31,6;24,9;31,7;24,5;30,2
"A628";2017;2021;39,5;35,2;26,1;33,9;26,4;32,6;25;9,1;29,6;27,3;34;26,8;32,7;26,3;31,8
"A627";2018;2021;41,4;37,9;24,9;36,7;24,8;35,4;24,4;12,2;34,9;26,6;34,4;26,1;33,7;25,7;32,6
"A626";2016;2021;38,3;35,1;22,7;33,9;22,9;32,7;22,5;4;26,2;24,8;31,9;24,3;31,3;23,9;30,9
"A625";2016;2021;39;36;24,6;34,9;23,9;33,8;23,7;5,2;27,7;26;32,4;25,5;32;25,1;31,3
"A624";2010;2021;33,2;29,2;19,8;28,2;20,2;27,3;20;-1,1;24,4;21,7;27,1;21,2;26,4;20,7;25,6
"A623";2010;2021;42,3;36;23;35,1;23;34,3;22,8;9,9;27,3;25,2;31,6;24,7;31,5;24,3;30,7
"A622";2010;2021;40,2;35,3;23,4;34,4;23,5;33,6;23,4;12,1;27,9;25,5;31,6;25;31,1;24,6;30,5
"A621";2010;2021;42,2;37,8;22,9;36,7;23,2;35,6;22,8;8,1;34,6;25,5;32;25,1;31,6;24,7;31
"A620";2010;2021;37,8;32,4;23,9;31,7;24;31,1;23,8;11,4;31,8;26,3;29,3;25,7;29,7;25,1;29,1
"A619";2010;2021;40,9;34,9;25,1;34;25,3;33;25,1;7,9;28,4;26,5;32,8;26;32,3;25,6;31,5
"A618";2010;2021;34,8;30;20,7;28,9;20,7;27,9;20,4;4,2;24,4;22,7;27,5;22,1;27;21,6;25,8
"A617";2010;2021;41,7;37,6;22,8;36,6;22,6;35,6;22,8;9,1;28,4;25,4;33,1;24,9;32,3;24,4;31,6
"A616";2010;2021;37,8;33,3;25,1;32,5;24,8;31,9;24,4;12;30,3;26,5;31,2;25,9;30,6;25,4;29,8
"A615";2010;2021;40,4;36,6;23,4;35,6;23,7;34,7;23,8;11,7;27,8;25,6;33,1;25,1;32,3;24,6;31,7
"A614";2010;2021;38,3;34,6;23,9;33,8;23,5;33,1;23,3;12,2;28,2;25,5;30,8;25;29,8;24,6;29,9
"A613";2010;2021;34,5;29,1;21,4;28,2;21,1;27,4;20,9;7,2;26,2;22,8;25,9;22,1;26,2;21,6;25,6
"A612";2010;2021;38,7;34,6;24,6;33,8;24;33;23,8;12;27,1;25,5;31,5;25,1;31;24,7;30,3
"A611";2010;2021;39,9;35;22,9;33,9;22,8;32,8;22,8;3,4;27,8;24,9;32;24,4;31,3;23,9;30,4
"A610";2010;2021;29,9;24,5;17,1;23,4;17,6;22,3;17;0,3;21,6;19,2;22,1;18,6;21,7;18;20,9
"A609";2010;2021;39,3;35,3;21,4;34,2;21,3;33,2;21,6;4,2;25,3;23,9;31,4;23,5;30,8;23,1;30,1
